run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G01_ai_news_today,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G02_read_supplied_source,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G03_audit_sources_without_summary,False,wrong_arg_value,,citation_audit,citation_audit,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G04_format_audited_digest,False,wrong_tool,,format,format,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G05_agent_capability_meta,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G06_multiturn_timeframe_and_count,True,wrong_arg_value,extra_tool_call,lookup,lookup|lookup,False,False,False,extra tool call lookup
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G07_multiturn_topic_time_correction,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G08_multiturn_url_completion,True,missing_info,,fetch,fetch,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G09_multiturn_audit_preferences,True,wrong_arg_value,,citation_audit,citation_audit,True,True,True,
v2_B_group_openrouter_20260729T161135580238,v2,v2+p0534431ce391+tae50b7488aab,group,G10_multiturn_format_after_audit,True,wrong_tool,,format,format,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G01_ai_news_today,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G02_read_supplied_source,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G03_audit_sources_without_summary,False,wrong_arg_value,,citation_audit,citation_audit,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G04_format_audited_digest,False,wrong_tool,,format,format,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G05_agent_capability_meta,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G06_multiturn_timeframe_and_count,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G07_multiturn_topic_time_correction,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G08_multiturn_url_completion,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G09_multiturn_audit_preferences,True,wrong_arg_value,,citation_audit,citation_audit,True,True,True,
v3_B_group_openrouter_20260729T171257620250,v3,v3+pd00b02dd7417+tae50b7488aab,group,G10_multiturn_format_after_audit,True,wrong_tool,,format,format,True,True,True,
